Accel_ax,Accel_ay,Accel_az
-3.503758,-0.533912,11.981916
-0.228658,0.003385,9.821172
2.194794,5.569929,7.376867
-2.233926,-3.283604,13.335591
0.248931,2.912871,8.037892
-0.636515,-1.423351,9.766665
-0.153424,1.952114,9.059593
-0.378138,0.768748,8.399727
-1.254613,1.634568,9.969727
-1.507697,1.733064,9.220463
-0.477025,2.391948,9.804047
-0.538936,2.134408,9.813699
-0.147590,1.721185,9.444224
0.472968,0.694364,9.363337
-0.552860,0.316585,9.839196
-0.283562,0.039798,9.158812
-0.185630,0.573124,9.874611
-0.890679,0.573367,10.620126
-0.524052,-3.320588,9.123886
-1.471904,0.954618,10.562562
-0.225420,-5.650889,8.469212
-1.594167,2.788843,8.871881
0.256067,-6.623653,5.247926
-0.568959,-0.197798,7.891692
-0.815927,-5.947038,12.375342
-0.588912,-3.073071,8.007876
-1.106438,-5.986274,11.586374
0.192472,-3.412836,14.976143
-1.489066,-3.914406,13.201370
-0.476091,-2.237746,10.895056
-0.136013,-0.864293,10.122877
-0.323240,-0.599241,9.954362
-0.457026,0.303532,10.290707
0.411059,0.263687,9.373832
0.399902,-0.508188,10.634166
-0.559270,2.390234,5.233127
-0.406786,1.933225,9.069909
0.390575,0.566102,10.910471
-0.614788,4.704560,7.293211
-1.077420,-1.332711,11.713079
-1.040430,2.532881,5.664061
-1.950899,-2.297508,10.293724
-0.592115,3.069583,8.262874
-0.541560,-2.116053,8.573191
1.476057,2.257848,9.522319
0.072520,1.560040,6.177141
-0.104593,3.837439,17.151043
2.225883,5.675686,16.729811
-1.896384,0.972383,14.636713
1.663189,5.436803,12.368567
-0.270223,1.917463,12.147747
0.345725,2.737244,10.784503
-0.177594,0.288013,9.437460
1.458947,0.405017,7.769913
0.798811,2.155908,11.647539
-3.570865,-2.259066,2.333487
0.969441,-1.153176,6.184857
-0.691636,-3.759010,6.883887
-1.293893,-5.913387,5.533919
0.542728,0.300370,11.303895
-0.342486,-3.510218,7.901874
-1.130384,3.665893,10.542968
-2.148411,-4.915924,7.263087
-1.876919,3.572942,9.361740
0.619030,7.510856,8.618655
-1.036107,-5.790870,10.546012
-0.883475,1.351967,6.889627
2.201848,-5.851849,14.587254
-3.094215,0.021503,0.998731
2.967112,-5.036083,17.136692
-0.931842,-2.682992,5.442752
0.126659,-2.199025,10.343992
-0.659094,-2.662303,8.891050
1.010617,-1.970152,7.131083
1.723167,0.911606,7.101960
1.369071,1.428890,6.384373
-1.071878,-0.398561,8.798239
-0.061924,4.553327,10.854246
4.445665,-7.249880,13.044547
-2.159385,4.886141,10.788487
0.034966,-2.510773,9.756839
-4.428199,8.214091,8.651432
-1.246209,-5.449077,9.741758
-2.457092,3.669661,8.086008
-1.181843,-3.665995,10.557182
-1.088445,3.730825,11.852396
1.648694,3.181661,13.894247
-0.856914,2.702673,13.607655
-1.992247,1.197079,2.779144
0.228192,0.859424,12.185531
1.196908,2.941481,9.665205
0.220374,0.178829,9.014436
2.037142,0.510897,11.962197
0.143979,0.831447,9.236859
2.410639,-0.910422,5.620415
1.692970,1.540845,9.872037
-2.296605,-4.011298,4.745031
0.056040,-3.670175,7.254445
0.354397,-0.814798,10.379207
-0.940658,-3.527475,6.230536
-2.042648,0.845399,10.683964
-0.685016,-5.353396,8.177615
-1.856995,4.679617,10.402335
-1.541640,-2.737888,6.790699
-1.477428,1.600354,8.260664
-0.824324,-7.949510,13.598653
2.804142,-5.692243,15.863191
1.776659,-3.976224,16.179728
2.760927,-5.452704,14.299302
0.795884,-2.248982,16.789043
2.359431,-4.000766,11.040087
-0.216471,-1.530828,8.569335
0.529868,-2.425879,11.261452
0.422502,-2.537878,7.864810
1.912648,-0.764505,6.466540
2.038321,-1.453508,9.178397
-2.913925,2.619654,5.011081
-0.017354,2.881018,11.436137
0.293375,4.821328,9.159140
-1.408268,5.247440,10.158987
-0.476421,-0.405461,9.430088
-2.676091,6.106924,6.832152
-1.802122,-2.567949,11.142814
-1.680182,3.666657,7.649114
-2.161067,1.097275,6.933423
-2.578114,5.884264,13.221505
1.703300,5.336712,13.925744
-2.094376,0.391218,1.463274
3.199400,3.617549,15.827499
2.417461,2.492477,10.267424
1.177652,2.666195,12.597016
2.005001,0.545109,12.069229
0.075951,0.238901,9.312727
0.569595,-0.790042,11.412998
2.132541,0.685513,5.986866
-1.428542,-1.761970,7.245246
-0.596729,-3.284625,5.674606
0.158983,-1.817710,8.483100
-0.378210,-4.859098,8.580019
0.015194,4.226781,11.105246
-1.087364,-1.158415,9.547047
