Accel_ax,Accel_ay,Accel_az
-1.100544,-7.651293,4.507636
-9.186874,-1.575108,72.142151
6.177944,7.196116,-0.594523
-0.218850,-6.605192,-0.293511
1.089221,3.889341,18.787062
-3.399647,-2.304940,13.598349
-3.413762,3.217216,8.646997
-5.748194,-3.944521,9.860483
-3.390221,-0.684204,8.723751
-3.555024,-2.673876,7.217452
-4.145801,-0.910370,8.904336
-4.159377,-0.620274,8.495835
-4.435729,-0.400049,9.129855
-4.101957,-0.441272,8.797615
-4.243089,-0.535267,9.069525
-4.003572,-1.393603,8.361427
-3.485983,-1.933465,9.071462
-2.440684,3.236287,10.507322
-2.218882,-2.880478,11.651779
-0.098443,3.992296,8.019516
-3.946968,-7.309589,13.009248
-1.636989,7.049310,10.487504
-3.359189,-5.057066,11.628961
-2.502832,5.619621,9.184477
-3.764033,-5.186235,10.235889
-3.123598,3.751240,7.736906
-4.501975,-3.629749,9.498173
-4.486947,3.070930,10.958396
-3.333917,-2.554355,12.945784
-2.873807,-0.299628,12.664476
-2.626243,-0.934336,6.318286
-2.772475,-0.925504,9.039918
-1.935132,-1.346110,10.080572
-2.095044,-0.435388,9.237864
-2.295377,-1.671941,9.738934
-3.141252,0.576624,5.381131
-2.850835,1.500959,6.200093
-2.933475,-4.120146,9.021816
-3.360749,1.775789,9.554271
-3.471304,-4.283309,12.135977
-2.368413,-7.118913,8.678482
-2.797765,4.307280,12.093206
-4.686482,-14.269957,10.380338
-1.347414,2.113792,4.454960
-2.774242,-2.219667,4.887894
-3.388758,3.855172,13.121331
-1.457304,0.385866,10.947962
-3.616114,3.285662,13.461616
0.290336,2.245925,15.937177
-1.569406,3.022058,15.204766
-0.957425,2.584525,15.209888
-4.253713,2.282160,9.258760
-2.552759,1.135275,9.965631
-1.547933,3.257814,9.872718
-3.119331,-0.522828,2.508251
-0.240811,0.908495,11.188119
-5.362724,0.091124,7.126856
-2.138604,-1.197323,9.444450
-3.999205,4.778455,11.159244
-2.227322,-3.087647,6.717170
-2.592827,2.950489,10.951915
-5.049944,-6.189112,9.381213
-1.741860,5.091402,11.092784
-4.953691,-4.938101,8.343163
-5.155762,-2.938011,8.805931
-3.681974,-3.206091,11.168614
-0.622947,-3.391540,14.563892
-4.604322,-4.130682,8.699578
