ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,none,0.000000,0.000000,-15.171876,10.019777,-14.438461,6.929652,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-12.578553,86.444115,0.143402,486.062103,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-8.425434,138.437286,0.400996,8.586469,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-5.564596,95.361290,0.452388,1.713046,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-3.627265,64.577698,0.407561,-1.494215,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-2.296145,44.370670,0.575525,5.598786,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-1.338943,31.906746,0.755819,6.009795,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-0.664133,22.493683,0.742353,-0.448873,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,-0.223953,14.672657,0.653431,-2.964061,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.056951,9.363453,0.637034,-0.546557,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.263125,6.872492,0.752780,3.858203,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.426056,5.431013,0.781767,0.966227,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.517186,3.037680,0.634307,-4.915315,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.546491,0.976829,0.581421,-1.762887,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.549149,0.088619,0.528017,-1.780138,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.535263,-0.462891,0.484347,-1.455642,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.503414,-1.061612,0.389088,-3.175330,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.459422,-1.466419,0.345496,-1.453052,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.424908,-1.150464,0.359761,0.475496,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.402386,-0.750728,0.350681,-0.302666,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.397572,-0.160461,0.424303,2.454078,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.411751,0.472631,0.458590,1.142886,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.420229,0.282609,0.417383,-1.373572,-0.008574,-0.205252,30.000000
0.000000,none,0.000000,0.000000,0.415704,-0.150853,0.395072,-0.743690,-0.008574,-0.205252,30.000000
0.000000,none,0.000250,-0.000250,0.413203,-0.083361,0.420862,0.859656,0.000000,0.000000,30.000000
0.000000,none,-0.001015,0.000765,0.423356,0.338430,0.468378,1.583881,0.000000,0.000000,30.000000
0.000000,none,0.000019,0.000746,0.423164,-0.006387,0.377150,-3.040925,0.000000,0.000000,30.000000
0.000000,none,0.002016,-0.001270,0.403007,-0.671893,0.344440,-1.090336,0.000000,0.000000,30.000000
0.000000,none,0.003283,-0.004553,0.370173,-1.094479,0.258381,-2.868626,0.000000,0.000000,30.000000
0.000000,none,0.004770,-0.009323,0.322472,-1.590037,0.186768,-2.387100,0.000000,0.000000,30.000000
0.000000,none,0.005340,-0.014663,0.269076,-1.779868,0.127736,-1.967751,0.000000,0.000000,30.000000
0.000000,none,0.004800,-0.019463,0.221073,-1.600112,0.113349,-0.479576,0.000000,0.000000,30.000000
0.000000,none,0.004953,-0.024416,0.171542,-1.651034,0.022275,-3.035792,0.000000,0.000000,30.000000
0.000000,none,0.005508,-0.029924,0.116465,-1.835888,-0.020033,-1.410253,0.000000,0.000000,30.000000
0.000000,none,0.006502,-0.036425,0.051450,-2.167172,-0.149383,-4.311689,0.000000,0.000000,30.000000
0.000000,none,0.005655,-0.042081,-0.005105,-1.885167,-0.097708,1.722524,0.000000,0.000000,30.000000
0.000000,none,0.001947,-0.044028,-0.024574,-0.648958,-0.032985,2.157413,0.000000,0.000000,30.000000
0.000000,none,-0.000445,-0.043583,-0.020127,0.148223,0.011355,1.478023,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.000729,0.695223,0.077461,2.203533,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.029751,0.967390,0.103598,0.871228,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.059714,0.998770,0.141331,1.257752,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.092807,1.103100,0.182894,1.385441,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.118704,0.863219,0.162982,-0.663738,0.000000,0.000000,30.000000
0.000000,none,-0.002086,-0.041497,0.139537,0.694437,0.203352,1.345672,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.197601,1.935484,0.435055,7.723432,-0.005806,0.005806,30.000000
0.000000,none,0.000000,0.000000,0.313171,3.852311,0.675350,8.009836,-0.011557,0.017363,30.000000
