ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,0.000000,0.000000,0.000000,-0.119107,-3.970228,-0.737093,-24.569767,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.275667,-5.218676,-0.469995,8.903265,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.335647,-1.999323,-0.452525,0.582326,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.379048,-1.446714,-0.487360,-1.161164,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.420291,-1.374774,-0.525972,-1.287070,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.429666,-0.312477,-0.372626,5.111537,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.354604,2.502069,-0.022186,11.681334,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.230706,4.129930,0.079719,3.396838,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.159859,2.361550,-0.102698,-6.080574,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.160484,-0.020823,-0.220887,-3.939631,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.203090,-1.420210,-0.363751,-4.762122,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.255069,-1.732612,-0.364099,-0.011608,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.283701,-0.954417,-0.323232,1.362236,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.241295,1.413549,0.018260,11.383082,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.126276,3.833966,0.210944,6.422780,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.041042,5.577271,0.571952,12.033621,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.196051,5.166939,0.469401,-3.418383,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.251975,1.864145,0.268789,-6.687054,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.204467,-1.583612,-0.058843,-10.921093,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.089757,-3.823643,-0.242101,-6.108578,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.071989,-5.391529,-0.579349,-11.241600,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.247364,-5.845831,-0.649937,-2.352941,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.377282,-4.330607,-0.648791,0.038209,0.000000,0.000000,30.000000
0.000000,none,0.007730,-0.007730,-0.454582,-2.576663,-0.584146,2.154835,0.000000,0.000000,30.000000
0.000000,none,-0.002316,-0.005414,-0.431418,0.772123,-0.181672,13.415791,0.000000,0.000000,30.000000
0.000000,none,-0.010627,0.005214,-0.325146,3.542412,-0.023500,5.272402,0.000000,0.000000,30.000000
0.000000,none,-0.009442,0.014655,-0.230728,3.147239,-0.042493,-0.633088,0.000000,0.000000,30.000000
0.000000,none,-0.004441,0.019097,-0.186316,1.480427,-0.144117,-3.387483,0.000000,0.000000,30.000000
0.000000,none,-0.000414,0.019511,-0.182172,0.138110,-0.202875,-1.958588,0.000000,0.000000,30.000000
0.000000,none,-0.000021,0.019532,-0.181964,0.006947,-0.160181,1.423107,0.000000,0.000000,30.000000
0.000000,none,-0.003934,0.023466,-0.142620,1.311459,0.039731,6.663762,0.000000,0.000000,30.000000
