motor_11,motor_12,motor_13,motor_14,motor_15,motor_17,motor_18,motor_19,motor_20,motor_21
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1983.000000,1757.000000,2629.000000,2339.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1969.000000,1759.000000,2625.000000,2337.000000,1968.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1958.000000,1760.000000,2622.000000,2336.000000,1957.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1949.000000,1762.000000,2619.000000,2334.000000,1948.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1943.000000,1763.000000,2616.000000,2333.000000,1942.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1938.000000,1764.000000,2614.000000,2332.000000,1938.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1936.000000,1765.000000,2613.000000,2331.000000,1935.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1935.000000,1765.000000,2613.000000,2331.000000,1934.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1936.000000,1765.000000,2613.000000,2331.000000,1935.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1938.000000,1764.000000,2614.000000,2332.000000,1938.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1943.000000,1763.000000,2616.000000,2333.000000,1942.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1949.000000,1762.000000,2619.000000,2334.000000,1948.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1958.000000,1760.000000,2622.000000,2336.000000,1957.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1969.000000,1759.000000,2625.000000,2337.000000,1968.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1983.000000,1757.000000,2629.000000,2339.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2340.000000,1466.000000,1756.000000,2113.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2346.000000,1454.000000,1750.000000,2128.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2141.000000,2359.000000,1429.000000,1737.000000,2140.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2151.000000,2375.000000,1397.000000,1721.000000,2151.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2160.000000,2391.000000,1365.000000,1705.000000,2159.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2166.000000,2405.000000,1337.000000,1691.000000,2166.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2170.000000,2414.000000,1319.000000,1682.000000,2170.000000
2162.000000,1765.000000,2613.000000,2331.000000,2161.000000,2172.000000,2417.000000,1313.000000,1679.000000,2171.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2170.000000,2414.000000,1319.000000,1682.000000,2170.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2166.000000,2405.000000,1337.000000,1691.000000,2166.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2160.000000,2391.000000,1365.000000,1705.000000,2159.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2151.000000,2375.000000,1397.000000,1721.000000,2151.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2141.000000,2359.000000,1429.000000,1737.000000,2140.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2346.000000,1454.000000,1750.000000,2128.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2340.000000,1466.000000,1756.000000,2113.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1916.000000,1624.000000,2895.000000,2472.000000,1916.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2162.000000,1765.000000,2613.000000,2331.000000,2161.000000,2180.000000,2472.000000,1202.000000,1624.000000,2180.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1916.000000,1624.000000,2895.000000,2472.000000,1916.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2162.000000,1765.000000,2613.000000,2331.000000,2161.000000,2180.000000,2472.000000,1202.000000,1624.000000,2180.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1916.000000,1624.000000,2895.000000,2472.000000,1916.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2162.000000,1765.000000,2613.000000,2331.000000,2161.000000,2180.000000,2472.000000,1202.000000,1624.000000,2180.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1916.000000,1624.000000,2895.000000,2472.000000,1916.000000,1935.000000,2331.000000,1484.000000,1765.000000,1934.000000
1918.000000,1629.000000,2884.000000,2467.000000,1918.000000,1936.000000,2331.000000,1484.000000,1765.000000,1935.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2162.000000,1765.000000,2613.000000,2331.000000,2161.000000,2180.000000,2472.000000,1202.000000,1624.000000,2180.000000
2161.000000,1765.000000,2613.000000,2331.000000,2160.000000,2178.000000,2467.000000,1213.000000,1629.000000,2178.000000
2158.000000,1764.000000,2614.000000,2332.000000,2158.000000,2173.000000,2452.000000,1242.000000,1644.000000,2172.000000
2154.000000,1763.000000,2616.000000,2333.000000,2153.000000,2165.000000,2430.000000,1287.000000,1666.000000,2164.000000
2148.000000,1762.000000,2619.000000,2334.000000,2147.000000,2154.000000,2402.000000,1342.000000,1694.000000,2154.000000
2139.000000,1760.000000,2622.000000,2336.000000,2138.000000,2142.000000,2375.000000,1396.000000,1721.000000,2142.000000
2128.000000,1759.000000,2625.000000,2337.000000,2127.000000,2129.000000,2353.000000,1441.000000,1743.000000,2129.000000
2114.000000,1757.000000,2629.000000,2339.000000,2113.000000,2114.000000,2341.000000,1464.000000,1755.000000,2114.000000
2097.000000,1755.000000,2633.000000,2341.000000,2096.000000,2097.000000,2341.000000,1464.000000,1755.000000,2096.000000
2075.000000,1753.000000,2636.000000,2343.000000,2074.000000,2075.000000,2343.000000,1461.000000,1753.000000,2074.000000
2048.000000,1753.000000,2637.000000,2343.000000,2048.000000,2048.000000,2343.000000,1460.000000,1753.000000,2048.000000
2022.000000,1753.000000,2636.000000,2343.000000,2021.000000,2022.000000,2343.000000,1461.000000,1753.000000,2021.000000
2000.000000,1755.000000,2633.000000,2341.000000,1999.000000,2000.000000,2341.000000,1464.000000,1755.000000,1999.000000
1982.000000,1755.000000,2633.000000,2341.000000,1982.000000,1983.000000,2339.000000,1468.000000,1757.000000,1982.000000
1967.000000,1743.000000,2656.000000,2353.000000,1967.000000,1969.000000,2337.000000,1472.000000,1759.000000,1968.000000
1954.000000,1721.000000,2701.000000,2375.000000,1954.000000,1958.000000,2336.000000,1475.000000,1760.000000,1957.000000
1942.000000,1694.000000,2755.000000,2402.000000,1942.000000,1949.000000,2334.000000,1478.000000,1762.000000,1948.000000
1932.000000,1666.000000,2810.000000,2430.000000,1931.000000,1943.000000,2333.000000,1481.000000,1763.000000,1942.000000
1924.000000,1644.000000,2855.000000,2452.000000,1923.000000,1938.000000,2332.000000,1483.000000,1764.000000,1938.000000
