ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,0.000000,0.000000,-2.056841,-13.061045,-3.260250,-25.520666,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,-1.794452,8.746319,0.770353,134.353409,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,-0.956779,27.922409,0.824670,1.810565,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,-0.434033,17.424885,0.496784,-10.929525,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,0.065050,16.636101,1.723724,40.898014,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,0.673907,20.295238,2.174291,15.018876,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,1.348034,22.470898,3.345365,39.035797,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,2.064183,23.871618,3.782600,14.574504,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,2.706594,21.413671,4.321336,17.957870,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.253226,18.221081,4.474703,5.112251,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.653265,13.334630,4.507410,1.090209,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.918743,8.849267,4.442053,-2.178542,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,4.057691,4.631612,4.255338,-6.223837,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,4.106745,1.635113,4.163636,-3.056749,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,4.106031,-0.023779,4.045464,-3.939072,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,4.081624,-0.813563,4.015582,-0.996065,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,4.004731,-2.563110,3.671837,-11.458142,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.856880,-4.928366,3.422673,-8.305486,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.576440,-9.347980,2.555611,-28.902061,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,3.159744,-13.889872,2.018567,-17.901461,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,2.631465,-17.609297,1.031686,-32.896038,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,2.012878,-20.619587,0.403130,-20.951851,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,1.286140,-24.224579,-0.874778,-42.596947,0.011201,0.095264,30.000000
0.000000,none,0.000000,0.000000,0.517338,-25.626740,-1.310667,-14.529621,0.011201,0.095264,30.000000
0.000000,none,0.053383,0.053383,-0.156136,-22.449139,-1.822449,-17.059422,0.000000,0.000000,30.000000
0.000000,none,0.035758,0.089141,-0.709599,-18.448763,-1.914929,-3.082665,0.000000,0.000000,30.000000
0.000000,none,0.014299,0.103440,-1.118651,-13.635079,-2.035694,-4.025479,0.000000,0.000000,30.000000
0.000000,none,-0.000021,0.103419,-1.431650,-10.433296,-2.138609,-3.430517,0.000000,0.000000,30.000000
0.000000,none,-0.006133,0.097286,-1.703647,-9.066588,-2.407957,-8.978264,0.000000,0.000000,30.000000
0.000000,none,0.020351,0.117637,-1.910549,-6.896730,-2.279761,4.273200,0.000000,0.000000,30.000000
0.000000,none,0.020599,0.138236,-1.956775,-1.540840,-1.827414,15.078235,0.000000,0.000000,30.000000
0.000000,none,0.020847,0.159084,-1.879803,2.565717,-1.609809,7.253512,0.000000,0.000000,30.000000
0.000000,none,-0.035226,0.123858,-1.714208,5.519828,-1.125025,16.159462,0.000000,0.000000,30.000000
0.000000,none,-0.043872,0.079985,-1.492742,7.382221,-0.932855,6.405648,0.000000,0.000000,30.000000
0.000000,none,-0.041814,0.038171,-1.286644,6.869901,-0.777205,5.188346,0.000000,0.000000,30.000000
