ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,0.000000,0.000000,-2.560097,-22.967667,-4.239769,-15.777707,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-2.353462,6.887809,0.398318,154.602905,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-1.289802,35.455345,1.477208,35.963001,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-0.236299,35.116753,2.462784,32.852535,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,0.769922,33.540691,3.291615,27.627722,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.606469,27.884922,3.425210,4.453135,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.168119,18.721674,3.263513,-5.389897,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.501864,11.124822,3.138119,-4.179780,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.651854,4.999658,2.793836,-11.476095,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.660162,0.276929,2.561301,-7.751179,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.584027,-2.537821,2.287880,-9.114043,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.467846,-3.872712,2.161202,-4.222592,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.300342,-5.583471,1.737905,-14.109894,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,2.083406,-7.231177,1.520288,-7.253917,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.889204,-6.473405,1.444718,-2.519004,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.762177,-4.234256,1.547592,3.429135,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.656290,-3.529549,1.321494,-7.536590,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.480463,-5.860893,0.902992,-13.950056,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,1.133610,-11.561767,-0.088557,-33.051632,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,0.631412,-16.739952,-0.752072,-22.117180,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,0.033984,-19.914263,-1.682284,-31.007057,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-0.639146,-22.437675,-2.415416,-24.437729,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-1.320621,-22.715839,-3.080191,-22.159172,-0.009342,-0.060533,30.000000
0.000000,none,0.000000,0.000000,-1.913806,-19.772812,-3.231982,-5.059719,-0.009342,-0.060533,30.000000
0.000000,none,0.001601,0.001601,-2.229283,-10.515919,-2.547974,22.800278,0.000000,0.000000,30.000000
0.000000,none,0.001692,0.003292,-2.298636,-2.311749,-2.339794,6.939340,0.000000,0.000000,30.000000
0.000000,none,0.001782,0.005075,-2.197892,3.358118,-1.634040,23.525131,0.000000,0.000000,30.000000
0.000000,none,-0.040600,-0.035526,-1.992464,6.847615,-1.490463,4.785883,0.000000,0.000000,30.000000
0.000000,none,-0.029704,-0.065230,-1.620731,12.391104,-0.194005,43.215282,0.000000,0.000000,30.000000
0.000000,none,-0.058824,-0.124054,-1.057452,18.775967,0.438387,21.079737,0.000000,0.000000,30.000000
0.000000,none,-0.076970,-0.201024,-0.376722,22.690998,1.659402,40.700497,0.000000,0.000000,30.000000
0.000000,none,-0.082277,-0.283301,0.335609,23.744341,1.995409,11.200249,0.000000,0.000000,30.000000
0.000000,none,-0.067087,-0.350388,0.943724,20.270533,2.439137,14.790913,0.000000,0.000000,30.000000
0.000000,none,-0.050125,-0.400513,1.436737,16.433739,2.499325,2.006269,0.000000,0.000000,30.000000
0.000000,none,-0.031509,-0.432022,1.804620,12.262792,2.650807,5.049396,0.000000,0.000000,30.000000
0.000000,none,-0.025016,-0.457038,2.128542,10.797401,2.963037,10.407694,0.000000,0.000000,30.000000
0.000000,none,-0.026976,-0.484014,2.464767,11.207500,3.374790,13.725074,0.000000,0.000000,30.000000
0.000000,none,-0.029782,-0.513796,2.818784,11.800562,3.745595,12.360160,0.000000,0.000000,30.000000
