Accel_ax,Accel_ay,Accel_az
-0.120189,-0.096063,9.675442
3.313723,18.689421,-0.073165
1.954009,-2.330887,2.926869
0.752576,2.808357,4.475309
-2.755113,-7.872456,14.982669
3.385732,4.576934,12.966862
-1.960890,2.316369,10.414123
-0.790227,4.977802,9.875469
-0.461217,2.354120,10.445750
-0.312100,2.839937,10.135192
0.011725,2.047165,9.925327
0.093603,1.939413,9.663334
1.243743,0.082495,9.034695
0.089495,0.199313,9.779980
-0.323711,0.252136,10.666221
-1.561871,-1.132245,6.810995
0.562827,0.829886,11.434933
0.281443,-6.251590,-0.301956
-0.193123,0.203341,12.670615
0.485871,-11.664678,0.816135
0.774593,-1.399597,4.336445
-0.558555,-11.188175,2.104457
-2.347509,12.795149,20.054142
0.815745,-9.547408,12.187632
-1.988690,-1.912936,11.127492
-3.875428,-7.209247,11.274577
-0.501737,-1.176328,10.056182
-2.293257,-4.541286,10.103110
0.208596,-0.986929,9.647794
-0.766104,-3.561148,10.098820
-0.515666,-0.621561,9.980899
-0.714721,-0.396699,9.968290
-0.355290,0.587470,10.335137
0.909623,0.452643,12.516404
0.593499,1.627450,9.340599
-0.100679,4.914977,8.385240
0.316474,1.272472,3.119825
-0.527291,9.566337,7.701626
-0.492216,1.931772,6.749835
-1.387754,10.228211,3.242191
0.917500,0.126532,4.969860
-0.664135,7.614485,3.422129
-0.943406,-12.667706,17.156847
0.694758,5.312088,2.731391
-0.700723,-4.496590,16.500340
-3.082475,3.028198,7.290580
-0.241088,1.487262,8.518364
-3.383328,4.142033,12.392552
1.810903,3.150950,11.799534
-0.823612,1.323466,7.538297
-1.206323,2.668493,11.717440
-0.811154,1.504019,9.087335
-0.628395,1.177347,7.679798
1.935270,4.537463,11.499587
-3.257966,1.495558,9.732343
1.895925,-5.408046,12.374901
-1.533841,3.652622,7.832629
-0.793948,-6.647945,8.187463
1.293672,-2.738006,6.905668
0.853433,-16.858486,9.379058
-0.496747,15.741402,16.296753
0.079642,-9.504766,1.009656
-3.734124,13.719619,24.227819
0.736124,-2.470996,9.389173
-1.615337,-2.081048,14.128803
-3.426163,-5.631266,11.002693
0.386979,-0.134277,9.378432
-3.040514,-5.258194,11.564952
2.438322,0.503318,10.410146
-1.086125,-3.674050,9.243303
-0.128838,-1.589743,9.628920
-0.410595,-1.855656,9.448981
-0.886251,0.041271,9.362036
0.772491,0.797287,10.806648
-2.713183,-0.551594,8.431133
3.654485,4.535685,9.343732
0.350593,3.139101,8.254514
-1.622911,10.346912,6.059775
-0.007044,3.724366,7.250948
-0.891631,9.005179,5.112102
0.434683,-0.116011,6.332186
-0.420274,6.437786,2.328776
1.319702,0.282601,3.265671
-0.500462,4.642007,4.495694
-1.199093,2.289829,17.377035
-4.937885,6.791678,11.836760
3.542973,-2.620729,7.080385
-3.577417,4.340072,10.956435
0.381511,-0.122984,9.397488
-1.045977,2.434486,8.621713
-0.389883,1.506424,9.495785
-0.824202,1.894611,9.301942
-0.621472,1.498217,7.805906
1.864893,4.429514,11.074847
-3.098684,0.658684,10.179372
3.812562,-4.708434,10.899138
0.076857,-1.708990,9.318867
-0.188886,-8.134437,8.058258
0.734650,8.935621,6.636530
1.057676,-11.460662,13.122958
-1.333974,1.006667,10.856992
1.301083,-8.525165,0.012154
0.878504,1.269068,6.180068
0.842802,-6.744348,0.609608
1.187669,7.585638,12.788441
-4.576627,-4.967326,9.841757
0.552472,-0.603486,9.140088
-3.925959,-4.399937,10.020136
-0.034454,-1.097353,10.181655
-0.544478,-2.459648,9.045240
-0.241370,0.121358,10.077454
-0.326989,-0.257703,10.161387
-1.094150,-0.121394,9.195655
0.880052,0.663979,10.702839
-2.787764,-0.281331,8.610714
2.708090,5.800587,9.032722
-0.776122,1.090675,8.270314
1.125451,6.508129,5.750538
-0.921839,-10.818386,16.854540
0.066222,11.176182,-0.364638
2.224380,1.527355,4.319009
-0.683033,8.305466,1.219360
-1.063625,0.515572,17.311098
1.764134,9.486377,4.531041
-0.651992,1.935349,10.032316
-6.278285,9.677406,11.419690
0.728717,1.220805,9.054405
-3.309103,6.746209,10.298126
0.708309,1.060289,8.448111
-1.109919,4.047927,9.195540
-0.180702,1.169787,9.517276
-0.648722,1.765960,9.241920
-0.941543,0.018760,8.065867
1.452074,0.737620,14.424767
-3.213308,0.834994,8.761802
3.843234,-3.893446,9.185004
0.364397,-2.490304,8.962882
-0.284334,-7.555843,9.000781
0.698034,-3.010329,5.001311
-0.154166,-14.791503,8.403932
-1.012709,13.954935,19.190466
0.628661,-8.108784,3.312031
-2.583718,13.480098,23.561306
-0.855423,-3.091980,7.487253
-0.895190,-1.426397,12.537758
3.896695,-2.811334,20.104950
0.386403,-0.764297,9.291044
-2.783259,-4.042381,11.049396
0.111739,-1.435712,10.226135
-0.432240,-2.828399,8.397766
-1.430495,-2.072913,12.319656
-0.664893,-1.687923,9.229842
-0.701737,0.333480,8.717746
1.366302,-1.821748,15.802803
-0.751144,-1.677245,11.321209
2.207030,4.312304,9.327463
0.465600,2.391961,8.581679
-1.168295,8.315783,6.509788
0.068663,1.997357,7.141447
0.004811,10.819011,2.866567
1.823546,1.451978,5.014768
-0.408328,6.700537,2.912866
1.150554,-0.456550,3.996163
1.404738,4.086368,2.918714
-2.080544,2.424654,13.457774
-3.964331,6.249633,11.258339
4.746946,-2.832220,7.406004
-4.341899,4.613443,10.344790
0.348139,0.771111,9.455106
-0.989552,3.091537,8.767413
-0.069481,1.493600,9.815502
-0.409834,1.832598,9.484561
-1.332737,0.173527,9.751598
1.278744,1.752359,14.005147
-1.139036,1.768758,11.971791
2.817452,-4.450016,8.946265
0.028693,-1.989245,9.353446
-0.031113,-6.696970,8.189111
0.992449,-3.450628,5.353792
0.139050,-13.769546,11.516708
1.395567,-1.026911,6.727363
-0.199163,-5.947241,2.900666
-2.700981,14.170685,25.496468
-1.248603,-4.270371,18.407175
-1.813249,-2.070263,14.699018
-5.318862,-7.919337,12.069195
1.251119,1.277272,8.806979
-2.586831,-5.660335,10.355837
0.534557,0.025316,8.562878
-0.588121,-3.971786,9.465138
-0.511597,-0.535192,9.497825
-0.415880,0.180010,9.641836
-1.262929,0.099191,8.867270
2.162847,0.765679,10.593648
-0.923742,-1.591660,11.376216
2.425550,4.941080,9.581577
0.099005,1.662527,9.250818
-0.948075,8.218204,6.605230
0.469569,-10.315043,15.015659
-0.230899,13.738384,-0.204107
-0.622595,-14.809620,20.501272
-1.324358,6.983131,4.356453
-2.338184,-13.862386,21.597723
-0.822760,3.716921,5.587641
-0.897792,1.824871,12.176222
-3.828999,5.631877,15.736629
3.197246,-4.857432,6.671220
-4.995074,3.213947,9.342418
0.689726,0.595082,9.126775
-0.805998,2.485147,8.798976
-1.415438,1.684796,12.286686
-0.603912,1.535342,9.233195
0.066580,0.507932,9.300862
2.626442,4.638897,10.792352
-0.328830,1.276982,12.206594
2.483658,-6.327780,10.031201
0.646807,-0.398644,10.408878
-0.658653,-8.207453,10.115073
-1.199393,-2.520363,9.796638
-0.493698,-14.346277,17.821470
-1.196748,3.445009,8.613724
0.941555,-7.152671,1.515306
1.637971,2.067983,2.992377
0.082449,-0.727347,9.817449
-1.416463,-2.230724,12.753728
-4.390177,-6.008108,9.858562
0.430497,-0.814849,9.601110
-2.873325,-5.024290,10.657907
0.543974,-0.901149,9.249567
-0.139646,-3.412028,8.402514
0.093803,-0.273736,9.958697
-0.331931,-0.306163,10.247320
-1.578736,-0.151942,9.949837
2.502610,0.328983,10.545202
-2.261315,-0.839773,9.001075
2.055779,4.916227,10.087329
-0.464141,0.341771,7.745729
0.010072,7.259836,7.508423
0.915356,3.731930,11.881814
-0.650953,12.932064,0.117988
1.953452,0.898047,5.100462
-1.143026,9.637552,1.053747
-0.330447,-12.602121,14.210416
0.583463,10.362940,8.664451
1.936058,-3.201893,4.788275
-8.092485,8.191694,11.181668
0.721399,1.149561,9.638472
-3.052732,6.192091,9.535922
0.037046,0.955382,9.723830
-0.939154,3.548215,9.128252
-0.341516,1.757177,9.528228
-0.136637,1.493372,9.378679
-2.291154,-0.377813,9.578616
1.574925,0.115689,12.573288
-0.914691,0.932536,10.442863
2.186749,-5.033432,9.773446
0.090257,1.596165,11.181828
-0.591063,-8.226516,6.892943
0.642889,-2.524213,5.667079
1.145843,-12.765631,11.539390
0.292831,0.612746,8.272309
-0.440159,-6.096467,3.810912
0.934973,-0.065503,4.290105
-0.103885,-4.945497,1.878582
-1.252019,-1.349654,14.409863
-5.169503,-3.340716,10.520106
4.015879,1.140342,7.136534
-3.870929,-4.870183,10.647162
0.896044,0.060174,8.155101
-0.390903,-3.670228,9.697965
-0.573373,-2.689328,12.189227
-0.502320,-1.530033,9.338547
0.643676,-0.726635,9.217742
1.156608,-4.079731,12.585002
-0.591742,-2.448808,10.456418
1.520122,4.544425,10.902960
0.499664,2.046414,9.059343
-0.866481,7.896940,8.971166
1.505439,-7.663521,11.367030
-0.304936,15.370667,10.712980
-0.771044,-0.162328,10.537927
-1.376781,7.708258,0.954009
-2.312557,-16.373463,21.320616
-0.972443,3.216021,6.623146
1.855445,-6.927324,10.548093
-7.396480,5.436120,10.748482
4.971726,-3.615879,7.272286
-5.491759,4.130488,9.993384
2.198564,-0.464874,11.738958
-1.059559,2.930614,8.801266
-0.619208,1.318820,9.175785
-0.549641,1.581776,9.168393
0.186496,-0.930413,10.958526
1.472657,1.055078,15.144067
-0.858704,1.546428,11.497528
2.557600,-3.897796,9.843908
0.339108,-1.637864,9.104171
2.145348,-7.554546,8.396781
0.155433,11.566738,11.204685
0.247736,-13.596739,8.188454
-1.025972,0.097902,8.216136
0.206665,-7.049079,2.898232
1.360326,0.889929,3.686174
-0.017807,-5.900828,2.547331
2.946002,5.066779,8.520020
-5.499601,-7.472765,11.538013
0.402975,-0.066997,9.016401
-3.763824,-5.473219,11.605184
1.192575,0.086748,7.695560
-0.414198,-3.839987,9.851644
-0.774911,-1.380221,8.976274
-0.479183,-1.523842,9.156991
0.701625,-0.926454,9.155104
1.424790,-4.105852,11.832134
-0.531915,-2.169136,9.767735
2.501123,4.979060,7.064406
0.442124,1.291547,9.206710
-0.524576,8.362103,6.953719
1.442077,-7.243134,6.977806
0.732366,16.396143,14.919291
-1.218500,0.572804,10.412354
-0.432250,8.660567,0.087279
-1.756153,-13.316655,18.876501
-0.702901,3.882781,4.056589
-0.876489,0.803214,12.831450
-6.516186,4.874061,11.332709
3.966193,-1.146418,9.027366
-4.652278,5.755619,12.221800
1.837515,0.364640,7.919750
-0.781341,3.424438,9.984707
-1.002508,2.292528,12.571168
-0.508292,-0.225728,9.331302
0.248477,-0.844459,10.044183
2.078476,-0.062060,12.412226
-0.806904,0.979254,9.448472
2.208579,-5.246632,10.063098
-1.399491,9.165324,8.856595
0.985204,-7.079047,9.299387
0.113639,-4.327317,10.292706
0.842643,-9.382259,1.670360
0.821716,-0.374697,1.336285
-1.621930,-7.081506,5.956117
2.189773,-0.366878,3.986541
-2.296472,-10.867781,19.425716
-0.980736,-1.541387,9.487499
-6.266438,-9.268825,11.780430
3.009699,0.287877,7.884902
-3.501093,-6.405996,11.047919
0.617845,-1.151307,8.708264
-0.537916,-4.456242,9.917722
-0.727521,-1.330162,9.314143
-0.292621,-1.442845,9.327389
-1.215892,0.200994,11.152096
2.396842,-1.552993,13.702844
-2.091539,-0.374448,8.534655
1.913833,2.893571,9.343197
0.760011,2.782466,8.005107
-0.165376,8.164626,6.021813
0.617106,-4.242343,12.402466
-0.498110,11.998769,12.085366
-1.437308,-19.361128,21.623543
-0.738742,6.987111,3.039209
-0.195155,-12.557914,22.978369
-1.404548,0.927519,9.266637
2.622695,-3.412143,10.028606
-5.494766,3.363105,8.597211
5.851522,1.775772,15.787518
-4.922997,1.990280,9.056074
3.543743,3.026969,15.738068
-1.013990,1.608803,7.856083
-0.634713,3.595960,12.780754
-0.559936,1.674785,8.919120
0.706230,-0.048735,7.739997
0.854597,2.713162,16.377523
-3.165293,-3.146223,4.401742
2.102881,-0.358226,11.593898
-2.134734,-1.076022,5.093155
-0.184478,-7.086663,8.760055
1.013415,8.538990,9.232007
0.403041,-13.836429,9.336158
0.757688,16.691313,17.365484
-0.606321,-10.286045,4.883934
-1.851780,12.588589,19.554384
-1.534907,-11.353493,20.182461
-0.415496,-0.032248,6.642145
-7.272104,-6.468542,10.278764
6.101665,-0.228577,12.405875
-5.217030,-4.298788,7.566165
4.285863,-1.419886,14.082042
-0.687017,-3.253200,7.267323
0.690822,-1.563495,11.291588
-0.391897,-0.073770,10.037591
1.936175,0.956593,7.910300
1.078391,0.379313,13.372562
-3.197023,0.321094,8.426417
2.109374,2.768089,10.441877
0.209962,2.056639,11.577043
0.190584,7.815260,4.640551
2.321416,-5.951991,10.521008
0.137033,11.469687,8.076826
1.159305,-10.975866,18.829002
-2.249089,7.024518,4.647414
-0.549704,-11.507833,21.215906
-1.127623,2.007950,8.565679
-0.579043,-4.178075,7.378476
-7.374195,3.321218,9.731137
6.307099,-2.694192,8.235670
-6.146526,3.447470,7.835003
3.736318,0.904765,14.635422
-0.828949,2.769689,7.871001
-0.806469,2.398422,12.850643
-0.600209,1.631956,9.070961
0.882662,0.104184,7.534638
2.072551,2.053350,14.149597
-2.924713,-3.269539,3.755183
2.532785,-0.004037,11.233141
0.330982,-2.915395,7.409599
0.212667,-6.054643,7.955869
1.050324,7.376889,11.967771
1.276003,-13.192601,10.419762
0.202683,15.637474,14.606330
0.704996,-10.407353,1.977509
-2.283600,7.807385,16.333111
-0.868953,-3.884302,4.988040
1.366211,5.670030,10.488017
-3.608328,-6.316091,9.885880
6.092185,0.064707,13.678960
-5.561452,-4.093073,8.207667
2.947090,-0.691460,12.700747
-0.945659,-2.604346,7.127443
-1.220639,-2.502255,12.633887
-0.472264,-1.400826,9.105325
0.841345,-0.204364,7.769318
0.475221,-2.304561,14.424459
-1.181996,1.181048,3.608533
1.961294,0.794670,11.418777
0.713291,5.184628,7.235850
-0.764349,7.019818,4.672077
1.360145,-1.118047,11.220590
-0.018459,12.910916,10.929257
1.086290,-11.917176,16.445835
-0.624922,6.164632,1.002723
-0.661445,-11.942586,19.134462
-1.432056,0.916137,7.545171
-0.184146,-1.733625,9.097424
-6.177829,2.961440,7.792971
6.055633,-0.568830,15.221878
-5.512779,2.936383,6.544032
4.468667,0.664270,14.295641
-0.920056,2.461219,7.132619
-0.758549,2.162504,12.867359
-0.530694,-1.308264,10.526255
0.870119,-0.868984,7.993950
0.971884,0.081936,13.596816
-3.249404,-2.482327,5.028842
2.941003,-2.498691,10.127703
0.399549,0.254480,11.718054
0.594701,-6.624577,9.216168
-1.211681,10.398064,11.821727
-0.124250,-11.138857,5.183036
-1.063478,7.240361,18.346479
-0.779269,-9.782722,3.920664
-0.950232,13.008867,23.608858
-1.221199,-12.061902,21.317335
0.233867,-0.972827,7.591071
-8.184303,-6.307722,9.964727
5.612293,1.093667,9.815399
-5.214082,-4.124759,7.150865
4.108979,-1.779884,14.468493
-0.568314,-3.447313,8.036283
-0.416741,-2.927629,12.732289
-0.357969,-1.499431,9.184908
0.951363,-0.223607,7.726306
1.759960,-1.902744,14.693467
-2.823171,0.332169,7.573788
2.312750,2.106621,10.543388
2.103763,-0.499085,11.993784
0.457273,7.120792,5.603598
1.639146,-4.351931,13.340949
-1.303976,13.096582,13.653641
1.016057,-9.002439,15.585252
-0.977359,7.359167,0.325484
-2.208422,-10.127437,17.962673
-0.614009,2.288293,6.853390
0.738819,0.971212,8.861124
-5.965203,4.698970,10.242767
6.326713,-0.216319,12.739546
-6.670309,3.916515,7.801607
3.610424,1.485321,14.896605
-0.881308,2.912162,7.693703
-1.024090,1.856772,12.547017
-0.479761,1.071528,9.141774
0.219902,-0.165692,9.419070
1.364883,0.148085,13.634528
-2.633988,-0.240095,8.364827
2.690307,-1.613280,10.157539
1.661497,-0.089382,8.589878
0.177328,-8.053640,10.253361
-0.082834,10.114294,14.161833
0.133792,-11.901429,6.639956
-0.663511,9.991304,19.495947
-1.556008,-8.782064,7.960393
-1.812484,7.910449,18.189592
-1.100898,-11.466357,21.028526
1.215224,1.176162,6.180464
-8.936562,-7.979868,10.596650
5.453315,0.230792,10.369239
-4.711813,-3.988296,6.252365
3.982904,-1.785643,14.929309
-0.706435,-2.949282,7.191406
-0.599107,-3.024776,12.859454
-0.343409,0.456604,10.165586
2.943820,0.762111,6.641767
1.590834,0.125084,13.609330
-3.055944,2.602595,5.026755
2.325206,2.646614,10.699869
2.118203,-1.407703,12.780426
0.045448,7.921432,3.657194
1.063125,-4.478105,13.620596
-1.088516,9.532520,5.534927
-1.460158,-17.645666,21.183203
-1.678674,8.103435,1.684741
-0.897737,-12.450951,20.735550
-1.120264,3.421428,5.492769
0.494281,2.590164,9.006523
-3.710806,2.778317,8.950934
5.683481,-0.481226,13.233257
-5.801745,3.456369,8.247587
3.301794,2.296104,17.502203
-1.091091,2.361064,6.962799
-1.216548,2.646229,13.023603
-0.498124,1.643455,9.032364
0.097883,0.559402,9.349822
0.312843,3.749380,13.218873
-3.199119,-1.004867,6.432374
2.779389,-2.890680,9.665130
-1.796465,2.733552,2.773832
1.508043,-6.430228,8.938765
-0.556812,1.624515,6.929893
-0.227762,-12.187555,14.520794
-0.268055,17.435970,9.874882
1.006833,-10.922844,1.727423
-2.468751,12.225041,21.722435
-0.809975,-4.611261,8.196450
-2.189819,2.072507,8.750307
-6.133533,-3.720298,7.631148
6.094833,0.114747,12.368193
-5.419678,-3.664860,8.048026
4.022578,-1.356262,14.827900
-0.590837,-2.946618,7.860986
-0.473943,0.835294,13.014397
-0.579128,-0.427635,10.327614
1.001285,1.313114,9.111513
1.120791,0.501347,13.395724
-3.559170,2.775554,5.238470
2.243103,2.133914,10.571580
3.122442,-4.565992,15.608402
0.374623,7.190089,10.475564
-0.778024,-8.947269,10.272761
-0.716272,12.350326,0.670227
1.161099,-10.838781,20.146223
-1.372747,10.498951,0.872047
-0.616171,-11.827903,12.704774
0.019647,11.340049,14.283571
-0.347377,0.255949,7.550804
-9.828865,7.574391,9.641047
5.848017,3.170444,18.570574
-5.547232,4.367124,6.744676
3.644418,1.975214,14.797884
-0.953026,3.311909,7.508263
-0.155178,2.580884,12.274590
-0.269094,1.382597,8.926317
2.479456,0.015669,6.781817
1.381053,1.460148,15.266789
-3.322299,-2.972430,4.024476
2.415316,-1.225219,10.175103
0.321579,-2.660171,8.467564
0.633685,-5.941823,8.114930
1.245559,7.134051,11.631973
0.357062,-12.456136,12.557566
-1.195781,11.874536,18.953075
-0.273020,-8.835269,2.492970
-2.821042,13.983190,21.275208
-0.563410,-3.704638,7.965235
-2.220329,4.194085,10.165316
-6.206672,-3.167561,9.347901
6.001876,0.974793,16.183670
-5.414230,-3.017411,7.633619
3.868972,-0.568810,13.905334
-0.649111,-2.796634,8.023754
0.461359,-2.045140,10.925177
-0.113080,-1.547266,9.387711
1.477525,-0.633311,7.325372
1.118396,-1.951756,14.950086
-2.512122,3.724679,2.724631
2.093941,1.102436,11.139967
0.625823,3.279967,9.868612
-0.349990,7.503374,4.063257
1.471996,-5.100652,13.614679
0.602269,10.503054,9.364278
1.297087,-13.241742,19.778301
-2.466549,7.203390,4.290725
-1.460930,-15.770040,22.323275
-1.335461,2.151746,7.863704
0.842782,-3.744253,10.698500
-5.731933,3.027462,9.973191
5.761654,-2.123168,9.115285
-5.869855,3.545820,8.692539
3.502630,2.002884,15.564198
-0.990611,2.341986,7.229830
-0.891967,2.796770,12.678636
-0.446450,1.566738,8.963793
0.676041,0.051514,7.911486
1.180156,3.723110,12.716976
-2.468716,-1.227614,2.926209
2.103327,-2.488641,12.375872
-0.385381,-0.656225,4.341355
0.191556,-7.139173,8.985263
0.636203,6.870217,8.441344
0.155645,-11.757507,10.372364
-1.372153,11.005805,13.441679
0.582180,-10.041527,2.503313
-1.841500,8.367542,19.481316
-1.044823,-2.579134,10.412015
-1.909106,2.931270,8.703199
-5.978411,-4.491067,9.737759
6.210431,1.037778,13.252316
-5.544483,-3.583269,8.296407
3.323878,0.606498,11.723347
-0.568738,-2.989790,7.604337
-0.239837,-3.069143,12.732809
-0.668882,-0.514628,9.479149
1.979400,0.633184,7.782784
1.227566,0.084508,13.612900
-3.027160,1.046352,7.943554
1.975646,1.486629,10.858744
0.633984,1.995576,10.185347
-0.033528,7.463295,5.105988
0.751548,-12.145958,12.936336
-0.997014,12.368294,4.412212
-1.051324,-9.997480,18.197533
-0.639196,7.133743,1.127669
-2.025142,-6.051584,15.620750
-0.947211,3.572264,4.925881
1.280441,-0.645175,8.580088
-0.550400,5.732081,19.056591
5.479472,-3.616911,8.710839
-5.569963,3.096989,9.636837
3.285508,0.817084,15.007956
-0.920124,2.209611,6.786246
-0.225205,2.095075,12.310385
-0.460631,1.573579,9.023436
0.870675,0.043034,7.787690
1.260183,3.853960,12.605113
-2.923069,-1.282999,6.279387
3.235034,-3.240746,9.065578
-1.464739,2.198394,3.175773
1.323725,-6.505177,7.989209
0.418944,7.985859,6.598313
0.356398,-12.964433,14.947320
-0.273600,17.461107,10.025992
1.023317,-10.273517,1.900528
-2.877538,10.025048,21.870359
-0.928068,-5.020013,7.985566
-1.918934,1.934711,9.749190
-5.892771,-3.765831,7.018897
5.901341,1.252919,12.320952
-5.605942,-3.061066,7.919919
4.071486,-0.961189,14.700484
-0.670025,-2.927861,7.941497
-0.211020,-2.602993,11.894903
-0.461606,0.072521,10.028807
1.897477,0.849988,7.863775
1.583384,0.386488,13.234892
-2.935926,3.511601,3.144250
2.395480,2.103535,10.446068
1.144968,1.114162,10.182007
-1.098150,9.095075,7.000584
0.430110,-11.565533,12.123724
-1.675012,13.970214,2.815012
1.499004,-11.456206,22.505791
-0.144470,8.593149,4.393879
-0.058816,-11.322544,21.959114
-2.896352,7.368000,16.883835
-1.826990,-0.877905,9.475438
-9.623098,7.505347,9.810538
6.699553,2.712008,14.942407
-5.429700,4.736584,8.288999
3.743926,2.593506,15.050302
-0.961287,2.199141,7.419842
-0.742586,2.993287,12.924623
-0.346009,1.496529,8.903040
2.125174,0.205890,7.060090
1.183300,4.048470,12.363919
-3.101070,0.728446,5.689028
2.130166,0.356737,12.248087
-1.130609,1.309732,7.092447
1.085352,-7.182564,8.164084
0.556654,6.801664,7.471248
-0.427844,-7.402441,7.755209
-0.875064,11.725325,10.765593
1.021506,-10.915851,0.252905
-2.722907,11.438501,17.536079
0.069114,-8.735542,1.948883
0.476959,4.544859,5.049589
-6.295409,-5.838846,7.894533
6.184970,-0.171720,12.649103
-5.482610,-4.192995,7.699987
2.681664,0.168304,12.713394
-1.104441,-1.888989,8.956386
1.310530,-0.030186,9.886826
-0.080960,-0.173370,10.188284
1.014783,1.013966,9.866446
1.347344,-0.130202,13.111522
-3.401942,0.540529,7.660387
1.578547,1.876326,10.868011
-1.920720,-5.344028,6.228340
-0.137291,6.375268,6.705318
0.246305,-5.362944,10.891094
0.329384,11.473618,1.553541
1.496347,-9.660451,17.962425
-1.404922,6.572205,2.255220
-1.798924,-12.405453,22.087702
-3.075773,9.034330,19.125202
-1.835537,1.488433,9.593330
-8.781025,8.466537,10.359504
6.205038,2.510831,14.088686
-5.328888,4.993105,6.555857
4.044834,2.469100,16.509367
-0.859331,2.932576,7.402877
-0.572830,2.128341,12.342972
-0.489471,-0.230760,10.651057
2.244304,-1.307617,7.609130
0.305205,0.270707,13.894650
-3.243150,-2.673046,4.950697
2.751321,-2.127852,10.153493
0.214738,-3.698070,7.792747
1.137824,-7.037326,6.308155
2.192766,8.122579,11.909068
0.522225,-14.230369,8.952833
-2.270318,14.561100,18.594812
-0.293371,-10.769031,3.041044
-3.487144,9.821059,21.122122
-0.344112,-5.124755,5.208511
-0.496135,6.409666,9.926596
-5.384676,-3.563982,9.892815
5.984756,-0.930939,13.143817
-5.292614,-4.779717,9.242953
4.176615,-2.375777,16.891100
-0.804301,-3.034877,7.374384
0.413548,-2.993760,11.875423
-0.115029,-1.444770,9.299222
1.511987,-0.668262,7.539408
0.647793,-4.127637,13.264058
-3.062165,0.694553,5.955022
2.556579,4.171643,10.246998
1.259122,1.832104,7.210781
-1.617624,8.691328,6.461641
1.680642,-2.193299,8.733838
0.701832,12.518211,11.134370
1.011357,-11.837000,9.665063
