ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,none,0.000000,0.000000,0.328511,-0.176522,0.295307,-1.474314,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.234454,-3.135220,-0.220352,-17.188641,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-0.014036,-8.283027,-0.848523,-20.939030,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-0.378306,-12.142321,-1.433833,-19.510317,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-0.834058,-15.191744,-2.143205,-23.645760,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-1.170656,-11.219936,-1.607954,17.841721,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-1.009480,5.372528,0.264071,62.400837,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,-0.493810,17.189018,0.908190,21.470627,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.135461,20.975693,1.998431,36.341358,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.807084,22.387432,2.428832,14.346715,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,1.416567,20.316101,2.957128,17.609850,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,1.938787,17.407316,3.107771,5.021453,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.328536,12.991640,3.181777,2.466861,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.596629,8.936461,3.134408,-1.578983,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.724976,4.278226,2.853142,-9.375541,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.727640,0.088803,2.613315,-7.994231,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.573285,-5.145192,1.886752,-24.218754,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,2.264610,-10.289145,1.349601,-17.905029,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,1.816703,-14.930250,0.407757,-31.394806,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,1.310202,-16.883381,0.091175,-10.552739,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.871047,-14.638498,-0.188475,-9.321667,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.527416,-11.454357,-0.195986,-0.250359,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.331508,-6.530260,0.038445,7.814357,-0.000421,-0.058155,30.000000
0.000000,none,0.000000,0.000000,0.261705,-2.326752,0.192600,5.138500,-0.000421,-0.058155,30.000000
0.000000,none,-0.003685,0.003685,0.298555,1.228332,0.558859,12.208629,0.000000,0.000000,30.000000
0.000000,none,-0.010955,0.014640,0.408110,3.651824,0.716233,5.245829,0.000000,0.000000,30.000000
0.000000,none,-0.012035,0.026675,0.528456,4.011532,0.844750,4.283897,0.000000,0.000000,30.000000
0.000000,none,-0.011713,0.038388,0.645587,3.904375,0.937032,3.076047,0.000000,0.000000,30.000000
0.000000,none,-0.004719,0.043108,0.692782,1.573148,0.646210,-9.694072,0.000000,0.000000,30.000000
0.000000,none,0.003216,0.039891,0.660617,-1.072144,0.540309,-3.530018,0.000000,0.000000,30.000000
0.000000,none,0.010447,0.029444,0.556150,-3.482259,0.134431,-13.529281,0.000000,0.000000,30.000000
0.000000,none,0.015965,0.013479,0.396497,-5.321745,-0.010137,-4.818921,0.000000,0.000000,30.000000
0.000000,none,0.016927,-0.003448,0.227228,-5.642295,-0.244387,-7.808326,0.000000,0.000000,30.000000
0.000000,none,0.016541,-0.019988,0.061823,-5.513525,-0.324769,-2.679402,0.000000,0.000000,30.000000
0.000000,none,0.012397,-0.032385,-0.062144,-4.132210,-0.318751,0.200589,0.000000,0.000000,30.000000
0.000000,none,0.008244,-0.040629,-0.144587,-2.748103,-0.315736,0.100515,0.000000,0.000000,30.000000
0.000000,none,0.004988,-0.045617,-0.194469,-1.662759,-0.282138,1.119913,0.000000,0.000000,30.000000
0.000000,none,0.003081,-0.048699,-0.225280,-1.027025,-0.297474,-0.511200,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.244170,-0.629673,-0.269990,0.916158,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.260709,-0.551271,-0.320699,-1.690315,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.284887,-0.805948,-0.350348,-0.988302,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.298837,-0.464992,-0.305756,1.486410,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.281000,0.594556,-0.181537,4.140617,0.000000,0.000000,30.000000
0.000000,none,0.001889,-0.050588,-0.177395,3.453498,0.260695,14.741071,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.006768,5.687564,0.440439,5.991470,-0.017063,0.017063,30.000000
0.000000,none,0.000000,0.000000,0.208555,7.177433,0.878551,14.603750,-0.021532,0.038595,30.000000
0.000000,none,0.000000,0.000000,0.470202,8.721567,1.157763,9.307034,-0.026165,0.064760,30.000000
0.000000,none,0.000000,0.000000,0.722505,8.410116,1.344025,6.208738,-0.025230,0.089990,30.000000
0.000000,none,0.000000,0.000000,0.955063,7.751924,1.540174,6.538320,-0.023256,0.113246,30.000000
0.000000,none,0.000000,0.000000,1.131453,5.879649,1.461544,-2.620999,-0.017639,0.130885,30.000000
0.000000,none,0.000000,0.000000,1.244165,3.757080,1.498889,1.244811,-0.011271,0.142156,30.000000
0.000000,none,0.000000,0.000000,1.316321,2.405219,1.435990,-2.096625,-0.007216,0.149372,30.000000
0.000000,none,0.000000,0.000000,1.345281,0.965305,1.375875,-2.003833,-0.002896,0.152268,30.000000
0.000000,none,0.000000,0.000000,1.368270,0.766304,1.456963,2.702932,-0.002299,0.154566,30.000000
0.000000,none,0.000000,0.000000,1.367679,-0.019680,1.275931,-6.034382,0.000059,0.154507,30.000000
0.000000,none,0.000000,0.000000,1.291816,-2.528766,0.989958,-9.532459,0.007586,0.146921,30.000000
0.000000,none,0.000000,0.000000,1.167773,-4.134778,0.826041,-5.463896,0.012404,0.134517,30.000000
0.000000,none,0.000000,0.000000,1.075086,-3.089556,0.935921,3.662672,0.009269,0.125248,30.000000
0.000000,none,0.000000,0.000000,1.036918,-1.272278,0.978054,1.404428,0.003817,0.121431,30.000000
0.000000,none,0.000000,0.000000,1.056950,0.667731,1.219756,8.056756,0.003817,0.121431,30.000000
0.000000,none,0.000000,0.000000,1.127839,2.362966,1.332847,3.769676,0.003817,0.121431,30.000000
0.000000,none,0.000000,0.000000,1.175754,1.597165,1.219360,-3.782888,0.003817,0.121431,30.000000
0.000000,none,0.000000,0.000000,1.198048,0.743122,1.270119,1.691977,0.003817,0.121431,30.000000
0.000000,none,0.000000,0.000000,1.260550,2.083409,1.512779,8.088640,0.003817,0.121431,30.000000
0.000000,none,-0.010811,0.010811,1.368656,3.603540,1.677344,5.485523,0.000000,0.000000,30.000000
0.000000,none,-0.011772,0.022582,1.486373,3.923887,1.788466,3.704051,0.000000,0.000000,30.000000
0.000000,none,-0.006875,0.029457,1.555123,2.291667,1.609748,-5.957250,0.000000,0.000000,30.000000
0.000000,none,0.005755,0.023702,1.497570,-1.918438,1.144339,-15.513647,0.000000,0.000000,30.000000
0.000000,none,0.012817,0.010885,1.369398,-4.272390,1.057618,-2.890678,0.000000,0.000000,30.000000
0.000000,none,0.023216,-0.012331,1.137237,-7.738695,0.244458,-27.105364,0.000000,0.000000,30.000000
0.000000,none,0.032430,-0.044761,0.812941,-10.809870,0.023116,-7.378044,0.000000,0.000000,30.000000
0.000000,none,0.030260,-0.075021,0.510341,-10.086670,-0.269871,-9.766234,0.000000,0.000000,30.000000
0.000000,none,0.029365,-0.104386,0.216691,-9.788332,-0.526698,-8.560902,0.000000,0.000000,30.000000
0.000000,none,0.023917,-0.128303,-0.022479,-7.972321,-0.520021,0.222570,0.000000,0.000000,30.000000
0.000000,none,0.014520,-0.142823,-0.167679,-4.840019,-0.423511,3.216997,0.000000,0.000000,30.000000
0.000000,none,0.010718,-0.153541,-0.274862,-3.572749,-0.575148,-5.054560,0.000000,0.000000,30.000000
0.000000,none,0.006962,-0.160503,-0.344480,-2.320603,-0.405409,5.657944,0.000000,0.000000,30.000000
0.000000,none,-0.000628,-0.159875,-0.338200,0.209312,-0.244693,5.357220,0.000000,0.000000,30.000000
0.000000,none,-0.010931,-0.148944,-0.228895,3.643529,0.244729,16.314062,0.000000,0.000000,30.000000
0.000000,none,-0.010931,-0.148944,-0.040600,6.276481,0.462741,7.267045,0.000000,0.000000,30.000000
0.000000,none,-0.010931,-0.148944,0.220677,8.709246,1.072974,20.341122,0.000000,0.000000,30.000000
0.000000,none,-0.010931,-0.148944,0.511931,9.708450,1.170804,3.261002,0.000000,0.000000,30.000000
