ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,0.000000,0.000000,0.000000,-0.074293,-2.476421,-0.459760,-15.325338,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.067023,4.710536,1.185709,54.848980,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.408348,11.377502,1.060629,-4.169349,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.631011,7.422081,1.134017,2.446286,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.760298,4.309583,0.928104,-6.863777,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.677123,-2.772496,0.077769,-28.344492,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,0.300717,-12.546890,-1.052912,-37.689373,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.164735,-15.515058,-1.226102,-5.772992,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.578725,-13.799678,-1.665349,-14.641587,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.950608,-12.396095,-1.793503,-4.271778,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.210091,-8.649429,-1.713530,2.665762,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.343825,-4.457816,-1.534276,5.975131,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.367402,-0.785878,-1.299286,7.833004,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.243554,4.128256,-0.669095,21.006363,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-1.011830,7.724129,-0.383997,9.503244,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.789632,7.406612,-0.264594,3.980107,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.638486,5.038182,-0.379310,-3.823870,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.574256,2.141016,-0.500176,-4.028853,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.556780,0.582534,-0.540189,-1.333769,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.609307,-1.750905,-0.898439,-11.941651,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.711285,-3.399270,-0.951271,-1.761077,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.810069,-3.292790,-1.082627,-4.378533,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,-0.800383,0.322847,-0.477578,20.168308,0.000000,0.000000,30.000000
0.000000,none,-0.003278,-0.003278,-0.538704,8.722648,0.496210,32.459576,0.000000,0.000000,30.000000
0.000000,none,-0.030504,-0.033782,-0.097132,14.719056,1.159047,22.094559,0.000000,0.000000,30.000000
0.000000,none,-0.024713,-0.058494,0.304541,13.389105,1.132444,-0.886766,0.000000,0.000000,30.000000
0.000000,none,-0.012120,-0.070614,0.621643,10.570071,1.439027,10.219459,0.000000,0.000000,30.000000
0.000000,none,-0.001785,-0.072400,0.869784,8.271359,1.339882,-3.304835,0.000000,0.000000,30.000000
0.000000,none,-0.001795,-0.074195,0.961356,3.052410,0.966386,-12.449879,0.000000,0.000000,30.000000
0.000000,none,-0.001805,-0.075999,0.893590,-2.258878,0.536960,-14.314197,0.000000,0.000000,30.000000
0.000000,none,0.007555,-0.068445,0.599765,-9.794146,-0.568108,-36.835590,0.000000,0.000000,30.000000
0.000000,none,0.035021,-0.033424,0.124711,-15.835164,-1.172236,-20.137613,0.000000,0.000000,30.000000
0.000000,none,0.036910,0.003486,-0.360973,-16.189461,-1.583997,-13.725368,0.000000,0.000000,30.000000
0.000000,none,0.043805,0.047291,-0.890304,-17.644375,-2.413719,-27.657385,0.000000,0.000000,30.000000
0.000000,none,0.053450,0.100741,-1.481134,-19.694305,-3.023243,-20.317474,0.000000,0.000000,30.000000
0.000000,none,0.035645,0.136386,-1.951419,-15.676164,-2.849392,5.795018,0.000000,0.000000,30.000000
0.000000,none,0.028766,0.165153,-2.134381,-6.098740,-2.185718,22.122471,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,-2.017055,3.910869,-1.356983,27.624500,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,-1.544713,15.744710,0.245947,53.431011,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,-0.775023,25.656345,1.427847,39.396675,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,0.093629,28.955078,2.397759,32.330391,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,0.966567,29.097927,3.191678,26.463970,0.000000,0.000000,30.000000
0.000000,none,0.028986,0.194138,1.685927,23.978659,3.193222,0.051459,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,2.134840,14.963748,2.956738,-7.882786,-0.030046,-0.030046,30.000000
0.000000,none,0.000000,0.000000,2.210333,2.516456,1.780147,-39.219719,-0.030297,-0.060343,30.000000
0.000000,none,0.000000,0.000000,2.057274,-5.101973,1.693326,-2.894012,0.024183,-0.036161,30.000000
0.000000,none,0.000000,0.000000,1.730847,-10.880904,0.401139,-43.072895,0.014291,-0.021869,30.000000
0.000000,none,0.000000,0.000000,1.196289,-17.818596,-0.247548,-21.622908,0.045865,0.023995,30.000000
0.000000,none,0.000000,0.000000,0.661704,-17.819502,-0.668148,-14.019995,0.046222,0.070218,30.000000
0.000000,none,0.000000,0.000000,0.112521,-18.306114,-1.407063,-24.630512,0.048783,0.119000,30.000000
0.000000,none,0.000000,0.000000,-0.404356,-17.229223,-1.566588,-5.317489,0.044269,0.163270,30.000000
