ideal_pitch_vel,init_pitch_pos,left_control_once_pitch,left_control_total_pitch,passfilter_pres_pitch_pos,passfilter_pres_pitch_vel,pres_pitch_pos,pres_pitch_vel,right_control_once_pitch,right_control_total_pitch,smaple_times_count
0.000000,none,0.004112,-0.003209,-2.174348,-0.378369,-2.213429,-1.020130,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-1.798598,12.525002,0.190049,80.115921,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-1.139166,21.981083,0.293643,3.453129,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.679444,15.324048,0.273006,-0.687904,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.403338,9.203541,0.076786,-6.540672,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.269382,4.465191,-0.054479,-4.375477,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.229867,1.317160,-0.239750,-6.175709,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.206189,0.789264,-0.073455,5.543149,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.152210,1.799305,-0.004875,2.286024,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.117250,1.165332,-0.083197,-2.610745,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.132730,-0.515987,-0.247100,-5.463432,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.170773,-1.268108,-0.253791,-0.223044,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.174403,-0.120998,-0.110220,4.785707,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.136262,1.271374,-0.002550,3.588997,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.083392,1.762347,0.057214,1.992141,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.054050,0.978063,-0.042415,-3.320978,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.100045,-1.533172,-0.350326,-10.263675,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.200096,-3.335035,-0.468931,-3.953511,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.311188,-3.703057,-0.618753,-4.994082,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.430480,-3.976400,-0.741863,-4.103641,0.000000,0.000000,30.000000
0.000000,none,0.004112,-0.003209,-0.500430,-2.331677,-0.551987,6.329191,0.000000,0.000000,30.000000
