ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,-0.029432,-0.677173,88.079346,3.145989,88.427139,9.991200,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,73.949966,-470.979340,0.292397,-2937.824707,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,50.356571,-786.446533,1.600216,43.593956,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,34.641560,-523.833801,1.860842,8.687536,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,24.064362,-352.573242,1.965483,3.488016,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,16.830393,-241.132294,1.395960,-18.984098,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,11.665689,-172.156830,0.303145,-36.427147,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,7.844644,-127.368149,-0.618236,-30.712700,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,4.951903,-96.424721,-1.594163,-32.530914,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,2.767158,-72.824837,-2.022299,-14.271200,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,1.110729,-55.214291,-2.694180,-22.396015,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-0.153343,-42.135742,-2.907068,-7.096275,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-1.074166,-30.694107,-3.098134,-6.368876,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-1.727743,-21.785891,-3.094865,0.108981,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-2.118256,-13.017096,-2.777321,10.584807,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-2.274409,-5.205109,-2.425558,11.725418,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-2.158621,3.859579,-1.406723,33.961170,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-1.885706,9.097193,-1.221593,6.170992,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-1.552587,11.103947,-0.488326,24.442251,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-1.163549,12.967957,-0.209291,9.301142,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-0.863742,9.993544,-0.262461,-1.772306,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-0.666297,6.581490,-0.243142,0.643954,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-0.557235,3.635406,-0.414525,-5.712781,0.000000,0.000000,30.000000
0.000000,none,-0.029432,-0.677173,-0.472264,2.832389,-0.174101,8.014143,0.000000,0.000000,30.000000
0.000000,none,-0.092056,-0.769230,-0.256974,7.176310,0.561889,24.533014,0.000000,0.000000,30.000000
0.000000,none,-0.072588,-0.841817,0.067846,10.827354,0.934314,12.414144,0.000000,0.000000,30.000000
0.000000,none,-0.074287,-0.916105,0.403233,11.179557,1.276921,11.420238,0.000000,0.000000,30.000000
0.000000,none,-0.063156,-0.979261,0.664244,8.700367,1.144815,-4.403528,0.000000,0.000000,30.000000
0.000000,none,-0.063181,-1.042442,0.739232,2.499599,0.647740,-16.569155,0.000000,0.000000,30.000000
0.000000,none,-0.063207,-1.105649,0.650021,-2.973699,0.278646,-12.303144,0.000000,0.000000,30.000000
0.000000,none,-0.029826,-1.135474,0.450094,-6.664230,-0.215848,-16.483133,0.000000,0.000000,30.000000
0.000000,none,-0.025927,-1.161401,0.225966,-7.470939,-0.270979,-1.837686,0.000000,0.000000,30.000000
0.000000,none,-0.033453,-1.194854,0.053393,-5.752429,-0.345056,-2.469235,0.000000,0.000000,30.000000
0.000000,none,-0.033246,-1.228100,-0.078672,-4.402180,-0.365445,-0.679641,0.000000,0.000000,30.000000
0.000000,none,-0.033039,-1.261139,-0.178053,-3.312686,-0.406917,-1.382411,0.000000,0.000000,30.000000
0.000000,none,-0.032832,-1.293970,-0.227450,-1.646573,-0.254884,5.067762,0.000000,0.000000,30.000000
0.000000,none,-0.032625,-1.326595,-0.206206,0.708134,-0.068549,6.211191,0.000000,0.000000,30.000000
0.000000,none,-0.032418,-1.359013,-0.090379,3.860907,0.372932,14.716022,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,0.260648,11.700910,1.618643,41.523685,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,0.766290,16.854723,2.031820,13.772591,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,1.132275,12.199491,1.765662,-8.871957,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,1.376549,8.142486,2.010588,8.164227,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,1.557715,6.038852,1.863662,-4.897547,0.000000,0.000000,30.000000
0.000000,none,-0.075091,-1.434103,1.635744,2.600973,1.734661,-4.300034,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,1.484484,-5.041996,0.600765,-37.796532,-0.035566,-0.035566,30.000000
0.000000,none,0.000000,0.000000,1.099708,-12.825879,-0.012977,-20.458069,-0.036365,-0.071931,30.000000
0.000000,none,0.000000,0.000000,0.560514,-17.973139,-1.124405,-37.047600,-0.012843,-0.084774,30.000000
0.000000,none,0.000000,0.000000,-0.038281,-19.959816,-1.460206,-11.193351,-0.003473,-0.088247,30.000000
0.000000,none,0.000000,0.000000,-0.612157,-19.129200,-2.167789,-23.586130,-0.006810,-0.095057,30.000000
0.000000,none,0.000000,0.000000,-1.137568,-17.513718,-2.308038,-4.674967,-0.013737,-0.108794,30.000000
0.000000,none,0.000000,0.000000,-1.562554,-14.166171,-2.597127,-9.636275,-0.028579,-0.137373,30.000000
