CoM_x_control,new_EP_lx,new_EP_rx
-0.016642,0.257218,-1.573844
-0.011117,0.211085,-1.238915
-0.006594,0.172636,-0.896301
-0.003228,0.140473,-0.579862
-0.000945,0.113424,-0.317617
0.000696,0.090503,-0.127142
0.001513,0.070878,-0.012742
0.001487,0.053834,0.035125
0.000793,0.038749,0.038043
-0.000067,0.025074,0.025074
-0.000770,0.012313,0.012313
