CoM_x_control,new_EP_lx,new_EP_rx
0.227578,0.000000,0.000000
0.188678,0.000000,0.000000
0.126382,0.000000,0.000000
0.083469,0.000000,0.000000
0.054409,0.000000,0.000000
0.034442,0.000000,0.000000
0.020084,0.000000,0.000000
0.009962,0.000000,0.000000
0.003359,0.000000,0.000000
-0.000854,0.000000,0.000000
-0.003947,0.000000,0.000000
-0.006391,0.000000,0.000000
-0.007758,0.000000,0.000000
-0.008197,0.000000,0.000000
-0.008237,0.000000,0.000000
-0.008029,0.000000,0.000000
-0.007551,0.000000,0.000000
-0.006891,0.000000,0.000000
-0.006374,0.000000,0.000000
-0.006036,0.000000,0.000000
-0.005964,0.000000,0.000000
-0.006176,0.000000,0.000000
-0.006303,0.000000,0.000000
-0.006236,0.000000,0.000000
-0.006198,0.000000,0.000000
-0.006350,0.000000,0.000000
-0.006347,0.000000,0.000000
-0.006045,0.000000,0.000000
-0.005553,0.000000,0.000000
-0.004837,0.000000,0.000000
-0.004036,0.000000,0.000000
-0.003316,0.000000,0.000000
-0.002573,0.000000,0.000000
-0.001747,0.000000,0.000000
-0.000772,0.000000,0.000000
0.000077,0.000000,0.000000
0.000369,0.000000,0.000000
0.000302,0.000000,0.000000
-0.000011,0.000000,0.000000
-0.000446,0.000000,0.000000
-0.000896,0.000000,0.000000
-0.001392,0.000000,0.000000
-0.001781,0.000000,0.000000
-0.002093,-0.025074,-0.025074
-0.002964,-0.038043,-0.038749
-0.004698,-0.035125,-0.053834
-0.007154,0.012742,-0.070878
-0.009875,0.127142,-0.090503
-0.012239,0.317617,-0.113424
-0.013729,0.579862,-0.140473
-0.014447,0.896301,-0.172636
-0.014994,1.238915,-0.211085
-0.015384,1.573844,-0.257218
-0.015657,1.866949,-0.312716
-0.015480,2.089361,-0.379598
-0.014347,2.222054,-0.460301
-0.012691,2.258620,-0.557761
-0.011472,2.205765,-0.675527
-0.010838,2.081409,-0.817886
-0.010465,1.909979,-0.990021
-0.010488,1.701800,-1.198200
-0.010698,1.450000,-1.450000
-0.010863,1.185887,-1.714113
-0.011062,0.964947,-1.935053
-0.011905,0.779137,-2.119452
-0.014055,0.621693,-2.240891
-0.016862,0.486882,-2.245878
-0.018676,0.369797,-2.094911
-0.017784,0.266175,-1.771744
-0.015107,0.172243,-1.287086
-0.010727,0.084582,-0.677543
-0.005214,0.000000,0.000000
-0.000736,-0.084582,0.677543
0.002846,-0.172243,1.287086
0.005398,-0.266175,1.771744
0.006869,-0.369797,2.094911
0.007585,-0.486882,2.245878
0.006645,-0.621693,2.240891
0.004139,-0.779137,2.119452
0.000476,-0.964947,1.935053
-0.003967,-1.185887,1.714113
-0.008079,-1.450000,1.450000
-0.011781,-1.714113,1.185887
-0.015442,-1.935053,0.964947
-0.018885,-2.119452,0.779137
-0.021507,-2.240891,0.621693
-0.023370,-2.245878,0.486882
-0.023231,-2.094911,0.369797
-0.021250,-1.771744,0.266175
-0.017575,-1.287086,0.172243
-0.012887,-0.677543,0.084582
-0.008906,0.000000,0.000000
-0.005690,0.677543,-0.084582
-0.003773,1.287086,-0.172243
-0.003045,1.771744,-0.266175
-0.002714,2.094911,-0.369797
-0.002153,2.245878,-0.486882
-0.002349,2.240891,-0.621693
-0.003658,2.119452,-0.779137
-0.005918,1.935053,-0.964947
-0.008879,1.714113,-1.185887
-0.011763,1.450000,-1.450000
-0.014284,1.185887,-1.714113
-0.016598,0.964947,-1.935053
-0.019485,0.779137,-2.119452
-0.022938,0.621693,-2.240891
-0.025937,0.486882,-2.245878
-0.027285,0.369797,-2.094911
-0.027147,0.266175,-1.771744
-0.024390,0.172243,-1.287086
-0.019423,0.084582,-0.677543
-0.013849,0.000000,0.000000
-0.008466,-0.084582,0.677543
-0.004533,-0.172243,1.287086
-0.001925,-0.266175,1.771744
-0.000094,-0.369797,2.094911
0.001365,-0.486882,2.245878
0.001426,-0.621693,2.240891
0.000087,-0.779137,2.119452
-0.002292,-0.964947,1.935053
-0.005316,-1.185887,1.714113
-0.008206,-1.450000,1.450000
-0.011026,-1.701800,1.198200
-0.013941,-1.909979,0.990021
-0.016750,-2.081409,0.817886
-0.019390,-2.205765,0.675527
-0.021592,-2.258620,0.557761
-0.021965,-2.222054,0.460301
-0.020958,-2.089361,0.379598
-0.018297,-1.866949,0.312716
-0.014477,-1.573844,0.257218
-0.011347,-1.238915,0.211085
-0.008976,-0.896301,0.172636
-0.007514,-0.579862,0.140473
-0.006788,-0.317617,0.113424
-0.006237,-0.127142,0.090503
-0.005518,-0.012742,0.070878
-0.005154,0.035125,0.053834
-0.005217,0.038043,0.038749
-0.005123,0.025074,0.025074
-0.005007,0.012313,0.012313
