CoM_x_control,new_EP_lx,new_EP_rx
0.001787,0.000000,0.000000
0.004135,0.000000,0.000000
0.005035,0.000000,0.000000
0.005686,0.000000,0.000000
0.006304,0.000000,0.000000
0.006445,0.000000,0.000000
0.005319,0.000000,0.000000
0.003461,0.000000,0.000000
0.002398,0.000000,0.000000
0.002407,0.000000,0.000000
0.003046,0.000000,0.000000
0.003826,0.000000,0.000000
0.004256,0.000000,0.000000
0.003619,0.000000,0.000000
0.001894,0.000000,0.000000
-0.000616,0.000000,0.000000
-0.002941,0.000000,0.000000
-0.003780,0.000000,0.000000
-0.003067,0.000000,0.000000
-0.001346,0.000000,0.000000
0.001080,0.000000,0.000000
0.003710,0.000000,0.000000
0.005659,0.000000,0.000000
0.006819,0.000000,0.000000
0.006471,0.000000,0.000000
0.004877,0.000000,0.000000
0.003461,0.000000,0.000000
0.002795,0.000000,0.000000
0.002733,0.000000,0.000000
0.002729,0.000000,0.000000
0.002139,0.000000,0.000000
0.001152,0.000000,0.000000
0.000343,0.000000,0.000000
0.000192,0.000000,0.000000
0.001054,0.000000,0.000000
0.002142,0.000000,0.000000
0.002897,0.000000,0.000000
0.003174,0.000000,0.000000
0.001830,0.000000,0.000000
-0.000251,0.000000,0.000000
-0.001277,0.000000,0.000000
-0.001270,0.000000,0.000000
-0.000744,0.000000,0.000000
0.000064,0.000000,0.000000
0.001968,0.000000,0.000000
0.004449,0.000000,0.000000
0.006599,0.000000,0.000000
0.008430,0.000000,0.000000
0.009621,0.000000,0.000000
0.009850,0.000000,0.000000
0.009153,0.000000,0.000000
0.007794,0.000000,0.000000
0.006532,0.000000,0.000000
0.006036,0.000000,0.000000
0.006136,0.000000,0.000000
0.006843,0.000000,0.000000
0.007913,0.000000,0.000000
0.008798,0.000000,0.000000
0.008840,0.000000,0.000000
0.007774,0.000000,0.000000
0.006339,0.000000,0.000000
0.004729,0.000000,0.000000
0.003048,0.000000,0.000000
0.001528,0.000000,0.000000
0.000326,0.000000,0.000000
-0.000182,0.000000,0.000000
0.000514,0.000000,0.000000
0.002385,0.000000,0.000000
0.004348,0.000000,0.000000
0.005740,0.000000,0.000000
0.006400,0.000000,0.000000
0.006366,0.000000,0.000000
0.006133,0.000000,0.000000
0.006170,0.000000,0.000000
0.006496,0.000000,0.000000
0.007090,0.000000,0.000000
0.007871,0.000000,0.000000
0.008532,0.000000,0.000000
0.007792,0.000000,0.000000
0.005876,0.000000,0.000000
0.004031,0.000000,0.000000
0.002528,0.000000,0.000000
0.001468,0.000000,0.000000
0.000780,0.000000,0.000000
0.001226,0.000000,0.000000
0.002513,0.000000,0.000000
0.003666,0.000000,0.000000
0.005459,0.000000,0.000000
0.007575,0.000000,0.000000
0.008731,0.000000,0.000000
0.008844,0.000000,0.000000
0.008043,0.000000,0.000000
0.007157,0.000000,0.000000
0.006848,0.000000,0.000000
0.007010,0.000000,0.000000
0.007557,0.000000,0.000000
0.008483,0.000000,0.000000
0.009312,0.000000,0.000000
0.009621,0.000000,0.000000
0.009039,0.000000,0.000000
0.008153,0.000000,0.000000
0.007728,0.000000,0.000000
0.007233,0.000000,0.000000
0.006597,0.000000,0.000000
0.005995,0.000000,0.000000
0.005202,0.000000,0.000000
0.004658,0.000000,0.000000
0.005203,0.000000,0.000000
0.006544,0.000000,0.000000
0.007829,0.000000,0.000000
0.008355,0.000000,0.000000
0.008279,0.000000,0.000000
0.008135,0.000000,0.000000
0.008063,0.000000,0.000000
0.008145,0.000000,0.000000
0.008460,0.000000,0.000000
0.009205,0.000000,0.000000
0.010231,0.000000,0.000000
0.011190,0.000000,0.000000
0.011924,0.000000,0.000000
0.011833,0.000000,0.000000
0.010630,0.000000,0.000000
0.007865,0.000000,0.000000
0.004441,0.000000,0.000000
0.002016,0.000000,0.000000
0.000704,0.000000,0.000000
0.001098,0.000000,0.000000
0.002940,0.000000,0.000000
0.004867,0.000000,0.000000
0.006112,0.000000,0.000000
0.006461,0.000000,0.000000
0.005932,0.000000,0.000000
0.005150,0.000000,0.000000
0.004833,0.000000,0.000000
0.004999,0.000000,0.000000
0.005644,0.000000,0.000000
0.006735,0.000000,0.000000
