CoM_x_control,new_EP_lx,new_EP_rx
-0.001369,-0.000000,-0.000000
0.035151,0.000000,0.000000
0.096195,0.000000,0.000000
0.136548,0.000000,0.000000
0.162669,0.000000,0.000000
0.179115,0.000000,0.000000
0.188834,0.000000,0.000000
0.193898,0.000000,0.000000
0.196355,0.000000,0.000000
0.197588,0.000000,0.000000
0.199052,0.000000,0.000000
0.201040,0.000000,0.000000
0.203594,0.000000,0.000000
0.206399,0.000000,0.000000
0.208621,0.000000,0.000000
0.210182,0.000000,0.000000
0.211250,0.000000,0.000000
0.212060,0.000000,0.000000
0.213095,0.000000,0.000000
0.214427,0.000000,0.000000
0.216083,0.000000,0.000000
0.217962,0.000000,0.000000
0.219792,0.000000,0.000000
0.221420,0.000000,0.000000
0.222035,0.000000,0.000000
0.221494,0.000000,0.000000
0.220493,0.000000,0.000000
0.219831,0.000000,0.000000
0.220164,0.000000,0.000000
0.221112,0.000000,0.000000
0.222170,0.000000,0.000000
0.223113,0.000000,0.000000
0.223786,0.000000,0.000000
0.224252,0.000000,0.000000
0.224693,0.000000,0.000000
0.225196,0.000000,0.000000
0.225697,0.000000,0.000000
0.226170,0.000000,0.000000
0.226049,0.000000,0.000000
0.225235,0.000000,0.000000
0.223943,0.000000,0.000000
0.222677,0.000000,0.000000
0.222184,0.000000,0.000000
0.222356,-0.025074,-0.025074
0.222664,-0.038043,-0.038749
0.222635,-0.035125,-0.053834
0.222349,0.012742,-0.070878
0.221615,0.127142,-0.090503
0.221163,0.317617,-0.113424
0.220978,0.579862,-0.140473
0.220533,0.896301,-0.172636
0.220496,1.238915,-0.211085
0.221299,1.573844,-0.257218
0.222406,1.866949,-0.312716
0.223515,2.089361,-0.379598
0.225296,2.222054,-0.460301
0.227315,2.258620,-0.557761
0.229348,2.205765,-0.675527
0.231193,2.081409,-0.817886
0.231827,1.909979,-0.990021
0.229858,1.701800,-1.198200
0.226129,1.450000,-1.450000
0.221881,1.185887,-1.714113
0.217312,0.964947,-1.935053
0.212965,0.779137,-2.119452
0.208661,0.621693,-2.240891
0.204987,0.486882,-2.245878
0.203774,0.369797,-2.094911
0.205356,0.266175,-1.771744
0.209861,0.172243,-1.287086
0.215956,0.084582,-0.677543
0.221512,0.000000,0.000000
0.226203,-0.084582,0.677543
0.229533,-0.172243,1.287086
0.231508,-0.266175,1.771744
0.232653,-0.369797,2.094911
0.233424,-0.486882,2.245878
0.232816,-0.621693,2.240891
0.231034,-0.779137,2.119452
0.227862,-0.964947,1.935053
0.223221,-1.185887,1.714113
0.218100,-1.450000,1.450000
0.213162,-1.714113,1.185887
0.208893,-1.935053,0.964947
0.205111,-2.119452,0.779137
0.202042,-2.240891,0.621693
0.200299,-2.245878,0.486882
0.202349,-2.094911,0.369797
0.207348,-1.771744,0.266175
0.214941,-1.287086,0.172243
0.223857,-0.677543,0.084582
0.231125,0.000000,0.000000
0.236873,0.677543,-0.084582
0.240577,1.287086,-0.172243
0.242286,1.771744,-0.266175
0.242507,2.094911,-0.369797
0.241890,2.245878,-0.486882
0.239787,2.240891,-0.621693
0.237008,2.119452,-0.779137
0.232817,1.935053,-0.964947
0.226764,1.714113,-1.185887
0.220139,1.450000,-1.450000
0.213902,1.185887,-1.714113
0.209330,0.964947,-1.935053
0.206094,0.779137,-2.119452
0.204104,0.621693,-2.240891
0.203763,0.486882,-2.245878
0.206330,0.369797,-2.094911
0.210822,0.266175,-1.771744
0.216640,0.172243,-1.287086
0.222721,0.084582,-0.677543
0.227483,0.000000,0.000000
0.231258,-0.084582,0.677543
0.233638,-0.172243,1.287086
0.234592,-0.266175,1.771744
0.234515,-0.369797,2.094911
0.233960,-0.486882,2.245878
0.232020,-0.621693,2.240891
0.228878,-0.779137,2.119452
0.224380,-0.964947,1.935053
0.218790,-1.185887,1.714113
0.213872,-1.450000,1.450000
0.210144,-1.701800,1.198200
0.207439,-1.909979,0.990021
0.205364,-2.081409,0.817886
0.203677,-2.205765,0.675527
0.202882,-2.258620,0.557761
0.203738,-2.222054,0.460301
0.207624,-2.089361,0.379598
0.214255,-1.866949,0.312716
0.221789,-1.573844,0.257218
0.228775,-1.238915,0.211085
0.233976,-0.896301,0.172636
0.237619,-0.579862,0.140473
0.239555,-0.317617,0.113424
0.240468,-0.127142,0.090503
0.240359,-0.012742,0.070878
0.239513,0.035125,0.053834
0.238227,0.038043,0.038749
0.235889,0.025074,0.025074
0.232087,0.012313,0.012313
