CoM_x_control,new_EP_lx,new_EP_rx
-0.004928,0.000000,0.000000
-0.003517,0.000000,0.000000
0.000211,0.000000,0.000000
0.005675,0.000000,0.000000
0.012511,0.000000,0.000000
0.017560,0.000000,0.000000
0.015142,0.000000,0.000000
0.007407,0.000000,0.000000
-0.002032,0.000000,0.000000
-0.012106,0.000000,0.000000
-0.021249,0.000000,0.000000
-0.029082,0.000000,0.000000
-0.034928,0.000000,0.000000
-0.038949,0.000000,0.000000
-0.040875,0.000000,0.000000
-0.040915,0.000000,0.000000
-0.038599,0.000000,0.000000
-0.033969,0.000000,0.000000
-0.027251,0.000000,0.000000
-0.019653,0.000000,0.000000
-0.013066,0.000000,0.000000
-0.007911,0.000000,0.000000
-0.004973,0.000000,0.000000
-0.003926,0.000000,0.000000
-0.004478,0.000000,0.000000
-0.006122,0.000000,0.000000
-0.007927,0.000000,0.000000
-0.009684,0.000000,0.000000
-0.010392,0.000000,0.000000
-0.009909,0.000000,0.000000
-0.008342,0.000000,0.000000
-0.005947,0.000000,0.000000
-0.003408,0.000000,0.000000
-0.000927,0.000000,0.000000
0.000932,0.000000,0.000000
0.002169,0.000000,0.000000
0.002917,0.000000,0.000000
0.003379,0.000000,0.000000
0.003663,0.000000,0.000000
0.003911,0.000000,0.000000
0.004273,0.000000,0.000000
0.004483,0.000000,0.000000
0.004215,0.000000,0.000000
0.002661,-0.025074,-0.025074
0.000102,-0.038043,-0.038749
-0.003128,-0.035125,-0.053834
-0.007053,0.012742,-0.070878
-0.010838,0.127142,-0.090503
-0.014326,0.317617,-0.113424
-0.016972,0.579862,-0.140473
-0.018662,0.896301,-0.172636
-0.019745,1.238915,-0.211085
-0.020179,1.573844,-0.257218
-0.020524,1.866949,-0.312716
-0.020515,2.089361,-0.379598
-0.019377,2.222054,-0.460301
-0.017517,2.258620,-0.557761
-0.016126,2.205765,-0.675527
-0.015554,2.081409,-0.817886
-0.015854,1.909979,-0.990021
-0.016918,1.701800,-1.198200
-0.017636,1.450000,-1.450000
-0.017971,1.185887,-1.714113
-0.018908,0.964947,-1.935053
-0.020530,0.779137,-2.119452
-0.022296,0.621693,-2.240891
-0.023327,0.486882,-2.245878
-0.022464,0.369797,-2.094911
-0.020541,0.266175,-1.771744
-0.017059,0.172243,-1.287086
-0.012194,0.084582,-0.677543
-0.007655,0.000000,0.000000
-0.003250,-0.084582,0.677543
0.000337,-0.172243,1.287086
0.002515,-0.266175,1.771744
0.004123,-0.369797,2.094911
0.005167,-0.486882,2.245878
0.005073,-0.621693,2.240891
0.003433,-0.779137,2.119452
0.000609,-0.964947,1.935053
-0.003310,-1.185887,1.714113
-0.007679,-1.450000,1.450000
-0.011876,-1.714113,1.185887
-0.016326,-1.935053,0.964947
-0.020286,-2.119452,0.779137
-0.023487,-2.240891,0.621693
-0.024924,-2.245878,0.486882
-0.024654,-2.094911,0.369797
